,Date,Code,Transect,adult,juv,col_m2,type,uo_DC,o_DC,DC,uo_LC,o_LC,LC,COTS,period,juv2,prop.dc
131,12/06/2013,S3-3,T3,0,2,0.04,Live,4,0,4,14,13,27,0,1,6,0.129032258
120,12/06/2013,S3-3,T3,1,1,0.06,Live,4,0,4,14,13,27,0,1,7,0.129032258
178,12/06/2013,S3-3,T3,1,6,0.03,Live,4,0,4,14,13,27,0,1,7,0.129032258
111,12/06/2013,S3-3,T3,2,0,0.08,Live,4,0,4,14,13,27,0,1,7,0.129032258
115,12/06/2013,S3-3,T3,2,0,0.07,Live,4,0,4,14,13,27,0,1,7,0.129032258
149,12/06/2013,S3-3,T3,3,3,0.09,Live,4,0,4,14,13,27,0,1,7,0.129032258
168,12/06/2013,S3-3,T3,3,4,0.05,Live,4,0,4,14,13,27,0,1,7,0.129032258
173,12/06/2013,S3-3,T3,3,3,0.04,Live,4,0,4,14,13,27,0,1,7,0.129032258
139,12/06/2013,S3-3,T3,4,5,0.16,Live,4,0,4,14,13,27,0,1,7,0.129032258
132,12/06/2013,S3-3,T3,8,7,0.31,Live,4,0,4,14,13,27,0,1,7,0.129032258
177,12/06/2013,S3-3,T3,8,9,0.09,Live,4,0,4,14,13,27,0,1,7,0.129032258
363,23/04/2013,MW1,T1,1,0,0.02,Live,5,0,5,14,5,19,0,1,2,0.208333333
375,23/04/2013,MW1,T1,2,0,0.02,Live,5,0,5,14,5,19,0,1,2,0.208333333
377,23/04/2013,MW1,T1,3,0,0.02,Live,5,0,5,14,5,19,0,1,2,0.208333333
362,23/04/2013,MW1,T1,4,0,0.1,Live,5,0,5,14,5,19,0,1,2,0.208333333
374,23/04/2013,MW1,T1,4,0,0.05,Live,5,0,5,14,5,19,0,1,2,0.208333333
229,05/05/2013,HG4,T1,0,1,0.08,Live,14,0,14,33,13,46,0,1,1,0.233333333
232,05/05/2013,HG4,T1,1,0,0.04,Live,14,0,14,33,13,46,0,1,1,0.233333333
240,05/05/2013,HG4,T1,1,1,0.05,Live,14,0,14,33,13,46,0,1,2,0.233333333
245,05/05/2013,HG4,T1,2,0,0.04,Live,14,0,14,33,13,46,0,1,1,0.233333333
248,05/05/2013,HG4,T1,2,0,0.03,Live,14,0,14,33,13,46,0,1,1,0.233333333
228,05/05/2013,HG4,T1,5,0,0.43,Live,14,0,14,33,13,46,0,1,1,0.233333333
257,05/05/2013,HG4,T1,5,2,0.04,Live,14,0,14,33,13,46,0,1,3,0.233333333
246,05/05/2013,HG4,T1,6,0,0.1,Live,14,0,14,33,13,46,0,1,1,0.233333333
252,05/05/2013,HG4,T1,7,2,0.1,Live,14,0,14,33,13,46,0,1,3,0.233333333
250,05/05/2013,HG4,T1,9,1,0.14,Live,14,0,14,33,13,46,0,1,2,0.233333333
247,05/05/2013,HG4,T1,10,0,0.16,Live,14,0,14,33,13,46,0,1,1,0.233333333
239,05/05/2013,HG4,T1,13,0,0.35,Live,14,0,14,33,13,46,0,1,1,0.233333333
251,05/05/2013,HG4,T1,29,2,0.39,Live,14,0,14,33,13,46,0,1,3,0.233333333
230,05/05/2013,HG6,T3,1,0,0.06,Live,10,0,10,18,6,24,0,1,1,0.294117647
258,05/05/2013,HG6,T3,5,1,0.04,Live,10,0,10,18,6,24,0,1,2,0.294117647
244,05/05/2013,HG6,T3,6,0,0.12,Live,10,0,10,18,6,24,0,1,1,0.294117647
227,05/05/2013,HG6,T3,7,0,0.84,Live,10,0,10,18,6,24,0,1,1,0.294117647
253,05/05/2013,HG6,T3,19,2,0.21,Live,10,0,10,18,6,24,0,1,3,0.294117647
249,05/05/2013,HG6,T3,27,0,0.4,Live,10,0,10,18,6,24,0,1,1,0.294117647
7,03/10/2013,S_3-2,T2,1,0,0.056,Live,16,2,18,17,12,29,4,1,2,0.382978723
27,03/10/2013,S_3-2,T2,3,1,0.048,Live,16,2,18,17,12,29,4,1,2,0.382978723
16,03/10/2013,S_3-2,T2,4,0,0.106,Live,16,2,18,17,12,29,4,1,2,0.382978723
36,03/10/2013,S_3-2,T2,4,1,0.049,Live,16,2,18,17,12,29,4,1,2,0.382978723
32,03/10/2013,S_3-2,T2,5,1,0.067,Live,16,2,18,17,12,29,4,1,2,0.382978723
15,03/10/2013,S_3-2,T2,6,0,0.162,Live,16,2,18,17,12,29,4,1,2,0.382978723
22,03/10/2013,S_3-2,T2,6,0,0.093,Live,16,2,18,17,12,29,4,1,2,0.382978723
29,03/10/2013,S_3-2,T2,6,0,0.07,Live,16,2,18,17,12,29,4,1,2,0.382978723
13,03/10/2013,S_3-2,T2,8,0,0.247,Live,16,2,18,17,12,29,4,1,2,0.382978723
40,03/10/2013,S_3-2,T2,8,1,0.075,Live,16,2,18,17,12,29,4,1,2,0.382978723
47,03/10/2013,S_3-2,T2,12,0,0.071,Live,16,2,18,17,12,29,4,1,2,0.382978723
33,03/10/2013,S_3-2,T2,18,0,0.198,Live,16,2,18,17,12,29,4,1,2,0.382978723
61,28/09/2013,MH-2,T2,2,1,0.037,Live,10,0,10,10,4,14,0,1,2,0.416666667
54,28/09/2013,MH-2,T2,3,0,0.055,Live,10,0,10,10,4,14,0,1,2,0.416666667
57,28/09/2013,MH-2,T2,3,0,0.04,Live,10,0,10,10,4,14,0,1,2,0.416666667
64,28/09/2013,MH-2,T2,8,0,0.058,Live,10,0,10,10,4,14,0,1,2,0.416666667
19,03/10/2013,S_3-3,T3,4,1,0.092,Live,19,6,25,18,13,31,1,1,2,0.446428571
31,03/10/2013,S_3-3,T3,4,1,0.057,Live,19,6,25,18,13,31,1,1,2,0.446428571
12,03/10/2013,S_3-3,T3,5,0,0.155,Live,19,6,25,18,13,31,1,1,2,0.446428571
18,03/10/2013,S_3-3,T3,6,0,0.15,Live,19,6,25,18,13,31,1,1,2,0.446428571
38,03/10/2013,S_3-3,T3,6,0,0.052,Live,19,6,25,18,13,31,1,1,2,0.446428571
41,03/10/2013,S_3-3,T3,6,0,0.05,Live,19,6,25,18,13,31,1,1,2,0.446428571
23,03/10/2013,S_3-3,T3,7,0,0.103,Live,19,6,25,18,13,31,1,1,2,0.446428571
42,03/10/2013,S_3-3,T3,7,0,0.054,Live,19,6,25,18,13,31,1,1,2,0.446428571
35,03/10/2013,S_3-3,T3,8,0,0.083,Live,19,6,25,18,13,31,1,1,2,0.446428571
43,03/10/2013,S_3-3,T3,9,0,0.068,Live,19,6,25,18,13,31,1,1,2,0.446428571
34,03/10/2013,S_3-3,T3,11,0,0.118,Live,19,6,25,18,13,31,1,1,2,0.446428571
39,03/10/2013,S_3-3,T3,17,0,0.145,Live,19,6,25,18,13,31,1,1,2,0.446428571
28,03/10/2013,S_3-3,T3,24,0,0.284,Live,19,6,25,18,13,31,1,1,2,0.446428571
166,12/06/2013,S1-5,T2,0,4,0.03,Live,6,1,7,5,2,7,2,1,1,0.5
69,14/06/2013,MD3,T3,1,0,0.04,Live,3,2,5,0,5,5,0,1,2,0.5
74,14/06/2013,MD3,T3,1,1,0.05,Live,3,2,5,0,5,5,0,1,2,0.5
92,14/06/2013,MD3,T3,1,1,0.02,Live,3,2,5,0,5,5,0,1,2,0.5
83,14/06/2013,MD3,T3,3,0,0.06,Live,3,2,5,0,5,5,0,1,2,0.5
81,14/06/2013,MD3,T3,5,1,0.12,Live,3,2,5,0,5,5,0,1,2,0.5
167,12/06/2013,S1-5,T2,10,4,0.11,Live,6,1,7,5,2,7,2,1,2,0.5
14,03/10/2013,S_3-1,T1,2,0,0.054,Live,27,3,30,16,11,27,2,1,2,0.526315789
6,03/10/2013,S_3-1,T1,3,0,0.179,Live,27,3,30,16,11,27,2,1,2,0.526315789
26,03/10/2013,S_3-1,T1,3,0,0.04,Live,27,3,30,16,11,27,2,1,2,0.526315789
21,03/10/2013,S_3-1,T1,4,0,0.064,Live,27,3,30,16,11,27,2,1,2,0.526315789
30,03/10/2013,S_3-1,T1,4,0,0.046,Live,27,3,30,16,11,27,2,1,2,0.526315789
20,03/10/2013,S_3-1,T1,5,0,0.085,Live,27,3,30,16,11,27,2,1,2,0.526315789
37,03/10/2013,S_3-1,T1,5,0,0.048,Live,27,3,30,16,11,27,2,1,2,0.526315789
25,03/10/2013,S_3-1,T1,7,0,0.096,Live,27,3,30,16,11,27,2,1,2,0.526315789
45,03/10/2013,S_3-1,T1,8,0,0.051,Live,27,3,30,16,11,27,2,1,2,0.526315789
44,03/10/2013,S_3-1,T1,10,0,0.071,Live,27,3,30,16,11,27,2,1,2,0.526315789
46,03/10/2013,S_3-1,T1,12,0,0.074,Live,27,3,30,16,11,27,2,1,2,0.526315789
320,24/04/2013,LL2,T2,0,1,0.05,Live,15,0,15,10,3,13,0,1,3,0.535714286
334,24/04/2013,LL2,T2,3,0,0.08,Live,15,0,15,10,3,13,0,1,4,0.535714286
